Expectativas de inflación y de variación del tipo de cambio n1/,,,,,,,,,,,,
(promedio),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Expectativas de inflación 12 meses (%),Expectativas variación de tipo de cambio 3 meses (%),Expectativas variación de tipo de cambio 6 meses (%),Expectativas variación de tipo de cambio 12 meses (%),Expectativas variación de tipo de cambio 24 meses (%),Expectativas variación de tipo de cambio 36 meses (%),,,,,,
Enero/2010,7.2,1.8,3.2,5.5,,,,,,,,
Febrero/2010,7.3,2.0,3.4,5.4,,,,,,,,
Marzo/2010,7.3,1.5,2.8,5.4,,,,,,,,
Abril/2010,7.5,1.8,3.7,6.3,,,,,,,,
Mayo/2010,7.5,2.7,3.8,6.5,,,,,,,,
Junio/2010,7.8,2.5,3.7,6.9,,,,,,,,
Julio/2010,7.2,1.6,3.2,6.2,,,,,,,,
Agosto/2010,7.1,1.9,3.5,6.7,,,,,,,,
Septiembre/2010,7.0,3.5,5.4,7.7,,,,,,,,
Octubre/2010,6.6,3.0,4.7,7.1,,,,,,,,
Noviembre/2010,6.8,1.5,3.0,4.7,,,,,,,,
Diciembre/2010,6.5,1.6,2.7,4.5,,,,,,,,
Enero/2011,6.8,0.9,2.4,3.8,,,,,,,,
Febrero/2011,6.9,1.4,2.6,4.4,,,,,,,,
Marzo/2011,7.2,1.8,3.1,5.1,,,,,,,,
Abril/2011,7.3,1.8,3.0,4.8,,,,,,,,
Mayo/2011,6.9,1.8,3.2,5.1,,,,,,,,
Junio/2011,6.6,2.0,2.8,4.9,,,,,,,,
Julio/2011,6.8,1.5,2.8,4.4,,,,,,,,
Agosto/2011,6.4,1.1,2.0,3.4,,,,,,,,
Septiembre/2011,6.3,1.0,1.6,3.0,,,,,,,,
Octubre/2011,6.2,1.7,2.1,3.7,,,,,,,,
Noviembre/2011,6.2,0.8,2.0,3.6,,,,,,,,
Diciembre/2011,6.3,1.7,2.8,4.3,,,,,,,,
Enero/2012,6.2,1.2,2.0,3.5,,,,,,,,
Febrero/2012,6.3,1.2,2.0,3.2,,,,,,,,
Marzo/2012,6.1,1.1,2.0,3.3,,,,,,,,
Abril/2012,6.2,1.2,2.1,3.0,,,,,,,,
Mayo/2012,6.2,1.8,2.8,4.1,,,,,,,,
Junio/2012,6.2,1.5,2.4,3.1,,,,,,,,
Julio/2012,5.9,2.0,2.7,3.5,,,,,,,,
Agosto/2012,5.9,1.5,1.9,2.6,,,,,,,,
Septiembre/2012,5.7,1.4,2.0,2.5,,,,,,,,
Octubre/2012,6.0,1.2,1.5,2.1,,,,,,,,
Noviembre/2012,5.7,1.3,1.8,2.2,,,,,,,,
Diciembre/2012,5.7,1.1,1.6,1.9,,,,,,,,
Enero/2013,5.6,-0.1,0.3,0.9,,,,,,,,
Febrero/2013,6.0,0.9,1.4,1.9,,,,,,,,
Marzo/2013,6.4,0.9,1.2,1.7,,,,,,,,
Abril/2013,6.4,1.3,1.8,2.0,,,,,,,,
Mayo/2013,6.4,1.1,1.4,1.9,,,,,,,,
Junio/2013,6.2,1.2,1.7,2.1,,,,,,,,
Julio/2013,6.2,1.2,1.7,2.4,,,,,,,,
Agosto/2013,6.2,1.1,1.4,2.2,,,,,,,,
Septiembre/2013,6.4,0.9,1.3,2.1,,,,,,,,
Octubre/2013,6.3,1.6,2.0,2.8,,,,,,,,
Noviembre/2013,6.2,1.4,2.0,2.8,,,,,,,,
Diciembre/2013,6.0,1.5,2.1,3.0,,,,,,,,
Enero/2014,5.8,1.3,1.9,2.6,,,,,,,,
Febrero/2014,6.1,2.7,3.8,5.6,,,,,,,,
Marzo/2014,6.9,3.1,3.7,5.6,,,,,,,,
Abril/2014,6.7,1.9,3.0,4.2,,,,,,,,
Mayo/2014,6.5,1.6,2.3,4.0,,,,,,,,
Junio/2014,6.6,1.6,2.5,3.8,,,,,,,,
Julio/2014,6.5,1.1,2.0,3.4,,,,,,,,
Agosto/2014,6.5,1.8,2.8,3.8,,,,,,,,
Septiembre/2014,6.8,1.2,2.4,3.7,,,,,,,,
Octubre/2014,6.5,1.5,2.5,3.6,,,,,,,,
Noviembre/2014,6.1,1.5,2.3,3.3,,,,,,,,
Diciembre/2014,6.2,1.3,2.2,3.5,,,,,,,,
Enero/2015,5.9,1.1,1.9,2.8,,,,,,,,
Febrero/2015,5.5,1.2,1.9,2.6,,,,,,,,
Marzo/2015,5.6,1.1,1.9,2.7,,,,,,,,
Abril/2015,5.0,1.1,1.7,2.6,,,,,,,,
Mayo/2015,4.7,1.2,1.9,2.5,,,,,,,,
Junio/2015,4.9,1.0,1.5,2.1,,,,,,,,
Julio/2015,4.7,1.1,1.7,2.9,,,,,,,,
Agosto/2015,4.5,0.9,1.5,2.3,,,,,,,,
Septiembre/2015,4.3,1.0,1.6,2.3,,,,,,,,
Octubre/2015,4.0,0.7,1.1,1.6,,,,,,,,
Noviembre/2015,3.9,0.7,1.2,1.8,,,,,,,,
Diciembre/2015,3.7,1.0,1.3,1.7,,,,,,,,
Enero/2016,3.9,0.5,0.7,1.2,,,,,,,,
Febrero/2016,3.5,0.5,0.7,1.3,,,,,,,,
Marzo/2016,3.5,0.3,0.6,1.1,,,,,,,,
Abril/2016,3.8,0.5,0.9,1.3,,,,,,,,
Mayo/2016,3.8,0.6,0.9,1.4,,,,,,,,
Junio/2016,4.0,1.5,2.1,3.2,,,,,,,,
Julio/2016,4.0,0.7,1.2,2.3,,,,,,,,
Agosto/2016,3.7,1.0,1.3,1.9,,,,,,,,
Septiembre/2016,3.6,0.7,1.1,1.9,,,,,,,,
Octubre/2016,3.8,0.9,1.5,2.3,,,,,,,,
Noviembre/2016,3.8,1.0,1.6,2.5,,,,,,,,
Diciembre/2016,3.9,0.9,1.4,2.2,4.2,6.5,,,,,,
Enero/2017,3.6,0.7,1.2,2.3,4.0,6.1,,,,,,
Febrero/2017,3.7,1.3,1.9,3.2,5.4,7.7,,,,,,
Marzo/2017,3.9,0.9,1.7,2.8,5.3,7.8,,,,,,
Abril/2017,3.7,0.9,1.7,3.0,5.0,7.2,,,,,,
Mayo/2017,3.7,2.8,3.9,5.1,7.6,9.9,,,,,,
Junio/2017,3.7,0.9,2.0,3.5,6.3,8.9,,,,,,
Julio/2017,3.5,1.0,1.9,3.6,6.0,8.8,,,,,,
Agosto/2017,3.4,1.3,2.4,4.5,7.2,10.2,,,,,,
Septiembre/2017,3.2,1.1,2.2,4.1,6.5,9.6,,,,,,
Octubre/2017,3.3,1.3,2.2,4.0,6.5,9.2,,,,,,
Noviembre/2017,3.4,1.2,1.9,3.5,6.1,8.7,,,,,,
Diciembre/2017,3.5,1.4,2.3,3.6,6.2,8.8,,,,,,
Enero/2018,3.7,1.2,2.0,3.5,6.6,9.8,,,,,,
Febrero/2018,3.7,1.4,2.2,3.8,6.3,8.8,,,,,,
Marzo/2018,3.7,1.2,2.1,3.6,6.1,8.5,,,,,,
Abril/2018,3.7,1.3,2.1,3.1,5.1,7.0,,,,,,
Mayo/2018,3.6,1.1,1.9,3.2,5.7,7.8,,,,,,
Junio/2018,3.5,1.2,1.8,3.1,5.1,7.0,,,,,,
Julio/2018,3.5,1.0,1.8,3.1,5.2,7.3,,,,,,
Agosto/2018,3.5,1.3,2.2,3.4,5.4,7.5,,,,,,
Septiembre/2018,3.6,1.7,2.6,4.2,6.5,9.1,,,,,,
Octubre/2018,3.9,2.9,4.2,5.8,8.2,11.8,,,,,,
Noviembre/2018,4.2,1.5,2.7,4.1,7.3,11.6,,,,,,
Diciembre/2018,3.7,1.4,2.4,3.9,6.6,9.9,,,,,,
Enero/2019,3.6,0.9,1.7,3.2,5.7,10.1,,,,,,
Febrero/2019,3.5,0.8,1.7,3.3,6.5,10.1,,,,,,
Marzo/2019,3.4,0.8,1.7,3.4,6.0,8.7,,,,,,
Abril/2019,3.3,1.7,2.5,4.2,6.8,9.3,,,,,,
Mayo/2019,3.4,1.3,2.2,3.7,6.2,8.8,,,,,,
Junio/2019,3.5,1.5,2.4,3.8,6.3,8.7,,,,,,
Julio/2019,3.4,1.0,1.8,3.3,5.8,8.4,,,,,,
Agosto/2019,3.4,1.6,2.5,3.8,6.1,8.5,,,,,,
Septiembre/2019,3.4,1.7,2.7,4.3,6.2,8.8,,,,,,
Octubre/2019,3.2,0.8,1.6,2.9,4.8,7.2,,,,,,
Noviembre/2019,3.3,0.5,1.1,2.2,3.9,5.7,,,,,,
Diciembre/2019,3.2,2.7,3.6,4.7,6.9,7.9,,,,,,
Enero/2020,3.1,0.9,1.8,2.9,4.8,6.9,,,,,,
Febrero/2020,3.1,1.1,1.8,3.0,4.8,7.1,,,,,,
Marzo/2020,3.0,1.1,2.0,3.4,5.3,7.5,,,,,,
Abril/2020,3.5,-0.1,0.8,3.1,4.9,7.0,,,,,,
Mayo/2020,3.2,1.1,1.8,3.5,5.8,8.0,,,,,,
Junio/2020,3.2,1.2,2.1,3.8,5.9,8.1,,,,,,
Julio/2020,3.0,0.8,1.7,3.2,5.6,8.4,,,,,,
